question,selected,correct,status,fill_score
1,3,3,correct,0.5074
2,3,3,correct,0.5074
3,1,3,wrong,0.5074
4,4,1,wrong,0.5074
5,1,1,correct,0.5074
6,2,2,correct,0.5074
7,2,2,correct,0.5074
8,1,1,correct,0.287
9,2,2,correct,0.5074
10,1,2,wrong,0.287
11,4,2,wrong,0.5074
12,2,2,correct,0.5074
13,1,1,correct,0.287
14,1,4,wrong,0.287
15,1,1,correct,0.5074
16,4,4,correct,0.5074
17,2,2,correct,0.5074
18,4,4,correct,0.5074
19,3,3,correct,0.5074
20,4,3,wrong,0.5074
21,1,2,wrong,0.5074
22,1,3,wrong,0.287
23,1,1,correct,0.5074
24,1,1,correct,0.5074
25,2,2,correct,0.5074
26,4,4,correct,0.5074
27,1,4,wrong,0.287
28,2,3,wrong,0.5074
29,1,1,correct,0.5074
30,4,4,correct,0.5074
31,4,4,correct,0.5074
32,4,4,correct,0.5074
33,2,2,correct,0.5074
34,1,1,correct,0.5074
35,3,2,wrong,0.5074
36,2,2,correct,0.5074
37,1,3,wrong,0.287
38,1,3,wrong,0.287
39,1,4,wrong,0.5074
40,2,2,correct,0.5074
41,3,3,correct,0.5074
42,2,2,correct,0.5074
43,2,2,correct,0.5074
44,1,1,correct,0.287
45,3,3,correct,0.5074
46,3,2,wrong,0.5074
47,1,3,wrong,0.287
48,4,4,correct,0.5074
49,2,4,wrong,0.5074
50,1,1,correct,0.5074
51,1,1,correct,0.5074
52,4,4,correct,0.5074
53,1,1,correct,0.5074
54,1,1,correct,0.5074
55,3,3,correct,0.5074
56,1,1,correct,0.5074
57,2,2,correct,0.5074
58,3,1,wrong,0.5074
59,2,2,correct,0.5074
60,1,1,correct,0.5074
61,4,4,correct,0.5074
62,4,4,correct,0.5074
63,4,4,correct,0.5074
64,1,1,correct,0.5074
65,2,2,correct,0.5074
66,4,4,correct,0.5074
67,3,3,correct,0.5074
68,3,3,correct,0.5074
69,2,2,correct,0.5074
70,4,4,correct,0.5074
71,2,2,correct,0.5074
72,4,4,correct,0.5074
73,3,4,wrong,0.5074
74,3,3,correct,0.5074
75,3,3,correct,0.5074
76,4,4,correct,0.5074
77,1,1,correct,0.5074
78,4,4,correct,0.5074
79,4,4,correct,0.5074
80,3,3,correct,0.5074
81,3,3,correct,0.5074
82,3,3,correct,0.5074
83,1,1,correct,0.5074
84,2,2,correct,0.5074
85,4,3,wrong,0.5074
86,3,3,correct,0.5074
87,3,3,correct,0.5074
88,2,2,correct,0.5074
89,2,4,wrong,0.5074
90,2,4,wrong,0.5074
91,2,2,correct,0.5074
92,4,4,correct,0.5074
93,2,2,correct,0.5074
94,1,1,correct,0.5074
95,4,4,correct,0.5074
96,1,4,wrong,0.287
97,1,1,correct,0.5074
98,4,4,correct,0.5074
99,1,1,correct,0.5074
100,1,4,wrong,0.287
